L,err95,fails,p,pfail,q,trials
24.0,1.3114873704310297e-07,41.0,0.000359381,4.299999828000007e-07,0.000359381,100000000.0
24.0,3.1240959339948105e-07,242.0,0.000464159,2.439999902400004e-06,0.000464159,100000000.0
24.0,7.034158369988103e-07,1235.0,0.0005994840000000001,1.236999950520002e-05,0.0005994840000000001,100000000.0
24.0,1.6936924219540879e-06,7170.0,0.000774264,7.171999713120011e-05,0.000774264,100000000.0
24.0,4.0140133679946216e-06,40295.0,0.001,0.00040296998388120067,0.001,100000000.0
24.0,0.00026733148658942397,177.0,0.00129155,0.0017899284028638854,0.00129155,100000.0
24.0,0.0006211075472074329,972.0,0.0016680999999999998,0.009739610415583376,0.0016680999999999998,100000.0
24.0,0.0012636664124676118,4164.0,0.00215443,0.041658333666653335,0.00215443,100000.0
24.0,0.002148604695513808,13313.0,0.00278256,0.13314467421303147,0.00278256,100000.0
24.0,0.00289444287624378,29863.0,0.00359381,0.2986380544778209,0.00359381,100000.0
24.0,0.003144608703299448,44731.0,0.00464159,0.4473121075156994,0.00464159,100000.0
24.0,0.0031621859941456253,49788.0,0.00599484,0.4978800847966081,0.00599484,100000.0
24.0,0.0031622138473593664,50030.0,0.00774264,0.50029998800048,0.00774264,100000.0
24.0,0.0031622113177887357,49930.0,0.01,0.49930002799888007,0.01,100000.0
