L,err95,fails,p,pfail,q,trials
14,1.17E-07,32,0.0001,3.40E-07,0.0001,100000000
14,1.98E-07,96,0.000129155,9.80E-07,0.000129155,100000000
14,2.72E-07,183,0.00016681,1.85E-06,0.00016681,100000000
14,4.26E-07,451,0.000215443,4.53E-06,0.000215443,100000000
14,6.52E-07,1062,0.000278256,1.06E-05,0.000278256,100000000
14,1.03E-06,2655,0.000359381,2.66E-05,0.000359381,100000000
14,1.63E-06,6643,0.000464159,6.64E-05,0.000464159,100000000
14,2.62E-06,17146,0.000599484,0.00017148,0.000599484,100000000
14,4.25E-06,45212,0.000774264,0.00045214,0.000774264,100000000
14,6.59E-06,131699,0.001,0.001197282,0.001,110000000
14,0.000349876,305,0.00129155,0.003069877,0.00129155,100000
14,0.000572403,824,0.0016681,0.00825967,0.0016681,100000
14,0.000939947,2258,0.00215443,0.022599096,0.00215443,100000
14,0.001443791,5514,0.00278256,0.055157794,0.00278256,100000
14,0.002066788,12156,0.00359381,0.121575137,0.00359381,100000
14,0.002670524,23222,0.00464159,0.232230711,0.00464159,100000
14,0.003044638,36492,0.00599484,0.364925403,0.00599484,100000
14,0.003154608,46534,0.00774264,0.465341386,0.00774264,100000
14,0.003162195,49823,0.01,0.498230071,0.01,100000
