L,err95,fails,p,pfail,q,trials
32.0,1.562049396274071e-07,59.0,0.000464159,6.09999975600001e-07,0.000464159,100000000.0
32.0,4.565072809541282e-07,519.0,0.0005994840000000001,5.209999791600008e-06,0.0005994840000000001,100000000.0
32.0,1.3341366675155561e-06,4448.0,0.000774264,4.449999822000007e-05,0.000774264,100000000.0
32.0,3.786720851578758e-06,35859.0,0.001,0.00035860998565560056,0.001,100000000.0
32.0,0.00032019933197056726,255.0,0.00129155,0.0025698972041118353,0.00129155,100000.0
32.0,0.00076772465183418,1494.0,0.0016680999999999998,0.014959401623935043,0.0016680999999999998,100000.0
32.0,0.0016509838428035368,7354.0,0.00215443,0.07355705771769129,0.00215443,100000.0
32.0,0.0026527967510814048,22785.0,0.00278256,0.22786088556457743,0.00278256,100000.0
32.0,0.0031252304589048964,42375.0,0.00359381,0.4237530498780049,0.00359381,100000.0
32.0,0.0031621567392799772,49698.0,0.00464159,0.4969801207951682,0.00464159,100000.0
32.0,0.0031622139554984656,49973.0,0.00599484,0.499730010799568,0.00599484,100000.0
32.0,0.0031622143532732496,50010.0,0.00774264,0.50009999600016,0.00774264,100000.0
32.0,0.0031621761464290248,50246.0,0.01,0.5024599016039358,0.01,100000.0
